"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"Atanásio ^c Santo, de Alexandria ^d ca. 295-373","189.2 A862","","","Autor","","","Atanásio de AlexandriaSanto Atanásio de Alexandria"
"ATEÍSMO","211.8","fflch","","Assunto","","",""
"ÁTICO, Tito Pompínio, escritor latino (109-32 a.C.)","879","fflch","","Autor","","",""
"ATLAS (*) Obs.: Para Atlas de uma região específica, usar o nº CDD a ele atribuído. Ver Tabela Geográfica anexa.","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS CELESTE","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS COMPLEXO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS DE REFERÊNCIA","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS DIDÁTICO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS ESCOLAR","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS GEOGRÁFICO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS GERAL","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS HISTÓRICO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS ILUSTRADO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS INTERNACIONAL","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS MUNDIAL","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS NACIONAL","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS OCEANOGRÁFICO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS POLÍTICO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS REGIONAL","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATLAS TEMÁTICO","912 + Tab. Autor + Mapoteca","fflch","","Assunto","","",""
"ATOL","551.424","fflch","","Assunto","","",""
"ATOMISMO","182.7","fflch","","Assunto","","",""
